Name: CCTV-1, URL: http://119.125.134.217:9902/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 401 ms, Speed: 0.13 M/s, Resolution: None
Name: CCTV-1, URL: http://60.12.183.46:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源, Date: None, Delay: 949 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-1, URL: http://221.199.193.80:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 443 ms, Speed: 0.73 M/s, Resolution: None
Name: CCTV-1, URL: http://[2409:8087:74d9:21::6]:80/270000001128/9900000501/index.m3u8$订阅源, Date: None, Delay: -inf ms, Speed: inf M/s, Resolution: None
Name: CCTV-1, URL: http://120.0.52.241:8086/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 1760 ms, Speed: 0.28 M/s, Resolution: None
Name: CCTV-1, URL: http://111.9.163.109:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 1058 ms, Speed: 0.25 M/s, Resolution: None
Name: CCTV-1, URL: http://120.0.52.238:8086/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源, Date: None, Delay: 924 ms, Speed: 0.38 M/s, Resolution: None
Name: CCTV-1, URL: http://60.12.183.46:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 949 ms, Speed: 0.02 M/s, Resolution: None
Name: CCTV-1, URL: http://112.234.21.109:9901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 461 ms, Speed: 0.26 M/s, Resolution: None
Name: CCTV-1, URL: http://125.34.48.195:7077/rtp/239.3.1.129:8008$组播源, Date: None, Delay: 461 ms, Speed: 0.81 M/s, Resolution: None
Name: CCTV-1, URL: http://183.66.15.146:60901/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 433 ms, Speed: 0.77 M/s, Resolution: None
Name: CCTV-1, URL: http://58.19.43.46:9901/tsfile/live/1020_1.m3u8$订阅源, Date: None, Delay: 382 ms, Speed: 0.07 M/s, Resolution: None
Name: CCTV-1, URL: http://121.24.98.45:8090/hls/9/index.m3u8$订阅源, Date: None, Delay: 431 ms, Speed: 0.08 M/s, Resolution: None
Name: CCTV-1, URL: http://183.66.13.82:60033/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 669 ms, Speed: 0.32 M/s, Resolution: None
Name: CCTV-1, URL: http://42.48.50.138:9002/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 382 ms, Speed: 1.36 M/s, Resolution: None
Name: CCTV-1, URL: http://183.133.104.164:8899/rtp/233.50.201.118:5140$组播源, Date: None, Delay: 396 ms, Speed: 0.44 M/s, Resolution: None
Name: CCTV-1, URL: http://119.125.134.228:9902/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 402 ms, Speed: 1.38 M/s, Resolution: None
Name: CCTV-1, URL: http://120.0.52.238:8086/tsfile/live/0001_1.m3u8$订阅源, Date: None, Delay: 924 ms, Speed: 0.38 M/s, Resolution: None
